[2020-12-06 14:06:34.580] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2020-12-06 14:06:34.581] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json'
[2020-12-06 14:06:34.582] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2020-12-06 14:07:54.262] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2020-12-06 14:07:54.262] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json'
[2020-12-06 14:07:54.262] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2020-12-06 14:07:55.417] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2020-12-06 14:07:55.418] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json'
[2020-12-06 14:07:55.418] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2020-12-06 14:08:40.650] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2020-12-06 14:08:40.651] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2020-12-06 14:08:40.651] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json'
[2020-12-06 14:09:33.168] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:09:34.297] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:09:36.135] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json'
[2020-12-06 14:09:36.136] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:09:37.209] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json'
[2020-12-06 14:09:37.210] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:09:38.220] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:09:40.012] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2020-12-06 14:10:20.406] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
